gvkey,company_name,date,year,quarter,cds_spread,cds_spread_lead_4q,future_cds_change_abs,future_cds_change_pct,distress_flag
1078,Abbott Laboratories,2012-03-31,2012,1,64.60203333333334,51.24256666666667,-13.35946666666667,-0.20679638050608318,0.0
1078,Abbott Laboratories,2012-06-30,2012,2,47.1222,44.779066666666665,-2.343133333333334,-0.04972461670578484,0.0
1078,Abbott Laboratories,2012-09-30,2012,3,45.495133333333335,36.282250000000005,-9.21288333333333,-0.2025026120009905,0.0
1078,Abbott Laboratories,2012-12-31,2012,4,49.90033333333333,27.02253333333333,-22.877799999999997,-0.45846988330071275,0.0
1078,Abbott Laboratories,2013-03-31,2013,1,51.24256666666667,24.756566666666668,-26.486,-0.5168749678815203,0.0
1078,Abbott Laboratories,2013-06-30,2013,2,44.779066666666665,25.2458,-19.533266666666666,-0.4362142429647186,0.0
1078,Abbott Laboratories,2013-09-30,2013,3,36.282250000000005,24.739266666666666,-11.54298333333334,-0.3181440879034056,0.0
1078,Abbott Laboratories,2013-12-31,2013,4,27.02253333333333,25.51483333333333,-1.5077000000000034,-0.055794176711781406,0.0
1078,Abbott Laboratories,2014-03-31,2014,1,24.756566666666668,25.3686,0.6120333333333328,0.024722060274916934,0.0
1078,Abbott Laboratories,2014-06-30,2014,2,25.2458,26.286066666666667,1.0402666666666676,0.04120553385777704,0.0
1078,Abbott Laboratories,2014-09-30,2014,3,24.739266666666666,30.5439,5.804633333333335,0.23463239276831171,0.0
