feature,importance
cds_spread_lag1,94
volatility_12m,55
debt_to_assets,35
roa,30
cds_spread_lag4,30
momentum_12m,29
momentum_3m,29
profit_margin,26
return_1m,24
return_lag1,24
debt_to_equity,22
ltq,19
leverage,19
volatility_3m,17
atq,17
return_lag4,15
price,15
seqq,13
asset_turnover,13
cash_ratio,12
log_market_cap,12
roe,10
niq,10
saleq,9
current_ratio,7
max_drawdown_12m,4
saleq_change,4
atq_change,3
