model,roc_auc,avg_precision,threshold,top_feature
XGBoost,0.6333898039585487,0.33030343661029476,0.45000000000000007,cds_spread_lag1
LightGBM,0.6360500632045899,0.3310063496694959,0.45000000000000007,cds_spread_lag1
