feature,mean_abs_shap,mean_shap,std_shap
cds_spread_lag1,0.2051399734805399,0.007930255046713547,0.28091851396904205
return_1m,0.0879157400836097,0.013342939986978223,0.09003086258425734
momentum_12m,0.08201199690688443,-0.04187946829638049,0.0832600053031766
debt_to_assets,0.07447682364043338,0.011974794202524584,0.11350142223835592
volatility_12m,0.0668720085304329,-0.04803933239455442,0.06731085466259902
debt_to_equity,0.04824749610961991,0.012111960511820946,0.06310710736521177
cds_spread_lag4,0.04500414716952073,0.0071711156639572724,0.05051237339462617
profit_margin,0.044955567252074446,-0.0028395298125882,0.054152510175141805
roa,0.042200474760617425,-0.009306211538599366,0.05613028417320634
cash_ratio,0.033280542344787147,0.0007110024462128788,0.039324300948527055
momentum_3m,0.028617869768605517,0.0022694679325161136,0.04269141673617724
return_lag1,0.028451860399888913,0.0028495265880100753,0.05755614463055784
price,0.023744586753578788,-0.006296933304604771,0.030288476653310567
ltq,0.021082303207799167,0.0016645842320511697,0.029065371924753124
log_market_cap,0.019440111082480244,-0.0042343991818924245,0.023536498069009894
volatility_3m,0.01777022037510972,0.007504589483453587,0.02391234045495027
current_ratio,0.016376810061085278,0.002151238349681449,0.01939408289668465
return_lag4,0.015639610364804594,-0.004066856955247127,0.02539398631097999
niq,0.015544939272840487,-0.002901682831146348,0.019304276568019575
leverage,0.014715961246454695,0.002307291863334043,0.024433349413573335
asset_turnover,0.011582637119550402,0.0004293153376976432,0.019158133753178166
seqq,0.01071190153555158,0.0011389818005791167,0.014859675208757216
atq,0.010551800192055703,0.00038800731011606965,0.01742552989665014
saleq,0.010361717800698543,-0.0008804300782005006,0.01588337942954318
roe,0.007454999337608069,0.0011190130145399535,0.009692623985416373
saleq_change,0.006364313404840097,5.8057545679093835e-06,0.008466500579278745
max_drawdown_12m,0.0034082685483418384,0.0006332320349418497,0.00931911663328311
atq_change,0.002033632631272142,-0.0005034429132146525,0.005861180376983585
