year,n_obs,n_distress,distress_rate,accuracy,precision,recall,f1,auc
2021,2079,1070.0,0.5146705146705147,0.60990860990861,0.6020488573680063,0.7140186915887851,0.6532706284737068,0.6407139482971018
2022,2096,310.0,0.14790076335877864,0.48854961832061067,0.17766497461928935,0.6774193548387096,0.28150134048257375,0.6211790629628291
2023,2101,83.0,0.039504997620180865,0.5092812946216088,0.049429657794676805,0.6265060240963856,0.09162995594713656,0.6054485533810167
