model,threshold,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,test_acc,test_prec,test_rec,test_f1,test_auc,test_ap
XGBoost Optimized,0.45000000000000007,0.524782668062446,0.2727811088903694,0.8565783356578336,0.4137892313738701,0.7404336007936005,0.43148791742520076,0.5113129381771829,0.28816693079767564,0.745727956254272,0.4156982282339493,0.6333898039585487,0.33030343661029476
LightGBM Optimized,0.45000000000000007,0.5312457330116972,0.27038823799678385,0.8207810320781032,0.4067738033523415,0.7161299372081038,0.38946492631411056,0.535691523263225,0.2928918070225521,0.7012987012987013,0.41320982682239227,0.6360500632045899,0.3310063496694959
