model,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,test_acc,test_prec,test_rec,test_f1,test_auc,test_ap
LightGBM,0.7507623685767603,0.3733275787656452,0.40213854021385403,0.38719785138764545,0.6936213774455041,0.3626079656059632,0.7152644996813257,0.36153846153846153,0.2891319207108681,0.32130649449297377,0.6424957810350442,0.3365510342495452
XGBoost,0.663875108097037,0.31267468708227003,0.598093909809391,0.41066155933285453,0.6961138444939471,0.37207788722147317,0.6473868706182282,0.3290793072014585,0.4935064935064935,0.39485917418649163,0.6303833786911417,0.327164336235774
Random Forest,0.704747166719767,0.34228381694817384,0.5511390051139005,0.4222994033306617,0.7110637594008465,0.4040899649931019,0.6701720841300192,0.32804532577903683,0.39576213260423787,0.3587360594795539,0.6214525793735608,0.32802198758062395
Logistic Regression,0.5550043238814801,0.2378626831370296,0.5774058577405857,0.33692777212614444,0.5884145087650459,0.24909612069728876,0.605799872530274,0.2910293509714758,0.48120300751879697,0.36269963936115407,0.5982240227431431,0.28256092764405827
