iqt,date,cds_spread
IQT106833241,2024-02-05,42.0982
IQT106833241,2024-03-06,45.7309
IQT106833241,2024-04-05,45.6546
IQT106833241,2024-05-05,38.3763
IQT106833241,2024-06-04,39.8196
IQT106833241,2024-07-04,44.2286
IQT106833241,2024-08-03,45.6181
IQT106833241,2024-09-02,36.1517
IQT106833241,2024-10-02,39.2724
IQT106833241,2024-11-01,45.05
IQT106833241,2024-12-01,44.2361
IQT106833241,2024-12-31,45.2953
IQT127280715,2011-01-14,285.019
IQT127280715,2011-02-13,254.2961
IQT127280715,2011-03-15,311.9102
IQT127280715,2011-04-14,324.9327
IQT127280715,2011-05-14,275.6239
IQT127280715,2011-06-13,302.7686
IQT127280715,2011-07-13,301.7783
IQT127280715,2011-08-12,383.5878
IQT127280715,2011-09-11,440.6753
IQT127280715,2011-10-11,480.6411
IQT127280715,2011-11-10,443.5463
IQT127280715,2011-12-10,488.8163
IQT127280715,2012-01-09,483.4517
IQT127280715,2012-02-08,339.4965
IQT127280715,2012-03-09,304.6521
IQT127280715,2012-04-08,320.372
IQT127280715,2012-05-08,327.8988
IQT127280715,2012-06-07,358.1361
IQT127280715,2012-07-07,356.6476
IQT127280715,2012-08-06,375.5979
IQT127280715,2012-09-05,378.1889
IQT127280715,2012-10-05,316.2901
IQT127280715,2012-11-04,335.7495
IQT127280715,2012-12-04,336.4629
IQT127280715,2013-01-03,249.4445
IQT127280715,2013-02-02,243.821
IQT127280715,2013-03-04,237.657
IQT127280715,2013-04-03,234.2748
IQT127280715,2013-05-03,196.5353
IQT127280715,2013-06-02,195.9021
IQT127280715,2013-07-02,229.9825
IQT127280715,2013-08-01,197.7275
IQT127280715,2013-08-31,200.0174
IQT127280715,2013-09-30,186.1726
IQT127280715,2013-10-30,162.363
IQT127280715,2013-11-29,162.7418
IQT127280715,2013-12-29,155.0777
IQT127280715,2014-01-28,156.9427
IQT127280715,2014-02-27,130.7851
IQT127280715,2014-03-29,135.7974
IQT127280715,2014-04-28,145.8862
IQT127280715,2014-05-28,131.1729
IQT127280715,2014-06-27,128.5135
IQT127280715,2014-07-27,133.8843
