model,test_auc,test_recall,test_precision,test_f1,train_auc,train_recall,train_precision,train_f1
Original (Medium Reg),0.6431,0.4641,0.3422,0.394,,,,
Medium Reg + Temporal,0.6883089899919319,0.5352016404647983,0.37482048827190045,0.4408783783783784,0.7727931659982595,0.6710832171083218,0.3719402215923731,0.4786140583554377
