strategy,threshold,precision,recall,f1,tp,fp,tn,fn,description
Default (0.50),0.5,0.34277198211624443,0.47163362952836635,0.3970080552359033,690,1323,3490,773,Standard threshold
F1-Optimized,0.43830345317751196,0.2931578947368421,0.7614490772385509,0.4233326999809994,1114,2686,2127,349,Maximizes F1-Score
Recall ≥ 0.55,0.4800700727093621,0.32577238951896753,0.569377990430622,0.41442786069651744,833,1724,3089,630,"Target 55% recall, maximize precision"
Recall ≥ 0.60,0.4736738052024224,0.32043795620437954,0.6001367053998633,0.41779681180109446,878,1862,2951,585,"Target 60% recall, maximize precision"
Cost-Sensitive (3:1),0.47114144510307865,0.3188766441521507,0.6131237183868763,0.4195509822263798,897,1916,2897,566,FN cost = 3x FP cost
Youden Index,0.46965856387440746,0.31749912679008035,0.621326042378674,0.420249653259362,909,1954,2859,554,Balanced sensitivity/specificity
