fold,train_size,val_size,train_period,val_period,train_distress_rate,val_distress_rate,auc,accuracy,precision,recall,f1
1,3666,3661,2010-01-31 to 2012-03-31,2012-03-31 to 2013-12-31,0.24931805782869612,0.04807429664026222,0.46090142819877394,0.7380497131931166,0.04529616724738676,0.2215909090909091,0.07521697203471553
2,7327,3661,2010-01-31 to 2013-12-31,2013-12-31 to 2015-09-30,0.1487648423638597,0.30893198579623055,0.5778511094103298,0.6790494400437039,0.30357142857142855,0.030061892130857647,0.054706355591311345
3,10988,3661,2010-01-31 to 2015-09-30,2015-09-30 to 2017-06-30,0.2021295959228249,0.10980606391696258,0.6314580060727355,0.6541928434853865,0.15984251968503937,0.5049751243781094,0.24282296650717702
4,14649,3661,2010-01-31 to 2017-06-30,2017-06-30 to 2019-03-31,0.17905659089357634,0.2548484020759355,0.5395990686870782,0.5785304561595193,0.2780203784570597,0.40943193997856375,0.33116601647160815
5,18310,3661,2010-01-31 to 2019-03-31,2019-03-31 to 2020-12-31,0.19421081376297106,0.20376946189565692,0.5239578495256577,0.562687790221251,0.21327967806841047,0.4262734584450402,0.28430934286991505
