model,train_auc,train_f1,train_precision,train_recall,train_accuracy,test_auc,test_f1,test_precision,test_recall,test_accuracy,auc_gap,f1_gap
Original (Baseline),0.9051442351802221,0.6310884473360295,0.5074943438914027,0.8342631334263133,0.8090209822038141,0.6350364890940307,0.35906040268456374,0.35266974291364533,0.36568694463431306,0.695666029318037,0.2701077460861915,0.2720280446514658
Light Regularization,0.8485824376923035,0.5518048128342246,0.4307331072267154,0.7675499767549977,0.7558599972691274,0.6420629137394039,0.375,0.3454231433506045,0.4101161995898838,0.681325685149777,0.20651952395289952,0.17680481283422456
Medium Regularization,0.7532147210682603,0.4651239126866896,0.35946220192795536,0.6587633658763365,0.7033362159209867,0.6421232708918472,0.3970080552359033,0.34277198211624443,0.47163362952836635,0.6660293180369662,0.11109145017641309,0.0681158574507863
Strong Regularization,0.6845985697686463,0.30775949919930123,0.4117647058823529,0.24569967456996747,0.7835783532838742,0.6326569261110581,0.22244191794364804,0.4017857142857143,0.15379357484620643,0.7493626513702996,0.05194164365758824,0.0853175812556532
Very Strong Regularization,0.6792837931802329,0.014295596034124971,0.8857142857142857,0.007205950720595072,0.8054253333940193,0.6185230562192081,0.0,0.0,0.0,0.7667304015296367,0.0607607369610248,0.014295596034124971
