model,n_features,test_auc,test_f1,test_precision,test_recall
Naive CDS Threshold,1,0.4018428671834469,0.24720087815587266,0.18208279430789134,0.3848257006151743
XGBoost CDS-Only,2,0.5830016648632896,0.367039586919105,0.26781789638932496,0.5830485304169515
XGBoost Top 10 SHAP,10,0.6360022035331232,0.3900414937759336,0.32760223048327136,0.4818865345181135
