model,train_auc,train_f1,train_precision,train_recall,train_accuracy,test_auc,test_f1,test_precision,test_recall,test_accuracy,auc_gap,f1_gap
Original (Baseline),0.9365884059048646,0.6958944826305035,0.5795173267326733,0.8707577870757787,0.8509853898320513,0.6259287368071692,0.32127351664254705,0.3412759415833974,0.303485987696514,0.7010834926704907,0.3106596690976954,0.3746209659879564
Light Regularization,0.8552309372365466,0.5668871896211015,0.4496388169551588,0.7668526266852627,0.7705611943015793,0.6351504575995264,0.3656457215029997,0.3397887323943662,0.39576213260423787,0.6798916507329509,0.22008047963702027,0.20124146811810184
Medium Regularization,0.7542569901888435,0.4599599198396794,0.3510338920836902,0.6668991166899116,0.693368531245733,0.6293823730699735,0.3852949558278712,0.3304007820136852,0.46206425153793573,0.6563097514340345,0.12487461711887005,0.07466496401180817
Strong Regularization,0.6912039906100137,0.4085024772255074,0.3112518265952265,0.5941422594142259,0.6631013608848026,0.6314299717145081,0.3875338753387534,0.3210597215985631,0.48872180451127817,0.6398980242192479,0.0597740188955056,0.020968601886754035
Very Strong Regularization,0.6770217962054904,0.39954504833861404,0.30710628200324713,0.5715946071594608,0.6636020208456602,0.6378812992097189,0.3930758988015979,0.3219895287958115,0.504442925495557,0.6368706182281708,0.03914049699577149,0.006469149537016161
