fold,train_period,val_period,train_size,val_size,naive_auc,naive_recall,naive_precision,naive_f1,cds_ml_auc,cds_ml_recall,cds_ml_precision,cds_ml_f1,top10_ml_auc,top10_ml_recall,top10_ml_precision,top10_ml_f1
1,2010-01-31 to 2012-03-31,2012-03-31 to 2013-12-31,3666,3661,0.4537011203947079,0.47560975609756095,0.04475043029259897,0.08180388044048244,0.5284392526411895,0.6420454545454546,0.052754435107376284,0.09749784296807593,0.48974093517673145,0.4375,0.04882688649334179,0.08784940102681119
2,2010-01-31 to 2013-12-31,2013-12-31 to 2015-09-30,7327,3661,0.5018884569689452,0.4826048171275647,0.30376193149915776,0.3728463128876637,0.5113247572018187,0.22192749778956675,0.32639791937581275,0.26421052631578945,0.5759150145207117,0.29354553492484525,0.40987654320987654,0.34209170530654304
3,2010-01-31 to 2015-09-30,2015-09-30 to 2017-06-30,10988,3661,0.40839617559924585,0.389873417721519,0.08574610244988864,0.14057507987220447,0.5911810997177352,0.5671641791044776,0.1411764705882353,0.22607833415964304,0.6134348203749587,0.6094527363184079,0.14522821576763487,0.23456199138343706
4,2010-01-31 to 2017-06-30,2017-06-30 to 2019-03-31,14649,3661,0.44748849194757334,0.4517167381974249,0.23349972268441485,0.3078610603290676,0.570254327320503,0.4833869239013934,0.30763983628922237,0.3759899958315965,0.5891956857235355,0.5616291532690246,0.30859835100117783,0.3983276320790574
5,2010-01-31 to 2019-03-31,2019-03-31 to 2020-12-31,18310,3661,0.5449382144981166,0.5797297297297297,0.23806881243063263,0.33752950432730133,0.5505292951774817,0.38337801608579086,0.21732522796352582,0.27740058195926287,0.5430113262729985,0.5442359249329759,0.22568093385214008,0.319056974459725
